"makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm"
"162.68265462544","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.658981598793","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.749606988436","0.0343","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"165.685744243338","0.0348","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.866912619407","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.613454147813","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.614344469583","0.0343","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.40684248366","0.0343","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"170.872090940044","0.0469","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"163.707346480643","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"164.76889638009","0.0528","SPOT","1","6","8","0","0.05","0","Montage_1000.xml|","HEFT"
"164.905769758673","0.0477","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"162.611589793866","0.0342","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"168.739685872298","0.0386","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"167.778385394671","0.0433","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"162.849738109603","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"169.669516742081","0.1084","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"163.119667219708","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.683280191051","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.713286349924","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.083469632981","0.0342","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.659006058321","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"164.545355580694","0.0348","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.172264479638","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.776253217697","0.0343","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.033030693816","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.048715937657","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.965691452991","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.742902086476","0.0343","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.65746214178","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.718049245852","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.968006485671","0.0346","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"164.153656510809","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"169.578076219206","0.0421","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"163.866819105078","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.805323906486","0.0342","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.688681749623","0.0346","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.224893262946","0.0346","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"169.52146066223","0.082","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"165.704989819004","0.0371","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"162.748302287582","0.0342","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.209218401207","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"168.884713650075","0.0443","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"163.004740346908","0.0342","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.608477400704","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.851984062343","0.0348","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"168.309761161388","0.0471","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"166.011998994469","0.0348","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"170.47981704374","0.0885","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"163.720232880844","0.0346","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.718994620412","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.848839316239","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.947520713926","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"170.495789203029","0.0499","SPOT","1","6","9","0","0.05","3","Montage_1000.xml|","HEFT"
"168.066363800905","0.0514","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"172.161125163399","0.0382","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"162.813806535947","0.0343","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"171.595779989945","0.0662","SPOT","1","6","9","0","0.05","2","Montage_1000.xml|","HEFT"
"163.656354776269","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.156088838612","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.842612543992","0.0348","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"166.61449061312","0.0535","SPOT","1","7","7","0","0.05","0","Montage_1000.xml|","HEFT"
"163.112053192559","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.80604725993","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"170.70311473102","0.0555","SPOT","1","6","9","0","0.05","1","Montage_1000.xml|","HEFT"
"168.941532151835","0.0424","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"163.225490925088","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.034166515837","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.021464806435","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"162.702016289593","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"169.161902614379","0.1247","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
"170.911621040724","0.0994","SPOT","1","6","9","0","0.05","0","Montage_1000.xml|","HEFT"
"168.051249399821","0.0879","SPOT","1","6","9","0","0.05","0","Montage_1000.xml|","HEFT"
"168.919086802413","0.1021","SPOT","1","6","8","0","0.05","0","Montage_1000.xml|","HEFT"
"170.092927928607","0.1166","SPOT","1","6","9","0","0.05","0","Montage_1000.xml|","HEFT"
"171.396409653092","0.044","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"169.63903381096","0.0414","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"163.983982202111","0.0346","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"165.988679839115","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"168.016798176495","0.0447","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"165.952085847159","0.0806","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"165.362413976873","0.1025","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"163.25776835093","0.0453","SPOT","1","6","8","0","0.05","0","Montage_1000.xml|","HEFT"
"169.009980517848","0.114","SPOT","1","6","8","0","0.05","2","Montage_1000.xml|","HEFT"
"169.568953016591","0.0434","SPOT","1","6","8","0","0.05","0","Montage_1000.xml|","HEFT"
"169.293865761689","0.0949","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"166.765085193564","0.0402","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"169.95391719457","0.0465","SPOT","1","6","8","0","0.05","2","Montage_1000.xml|","HEFT"
"163.815851608849","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"170.124681699346","0.0495","SPOT","1","6","8","0","0.05","0","Montage_1000.xml|","HEFT"
"168.117123825375","0.097","SPOT","1","6","8","0","0.05","0","Montage_1000.xml|","HEFT"
"169.798118401207","0.1057","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"170.162984791352","0.0922","SPOT","1","6","8","0","0.05","0","Montage_1000.xml|","HEFT"
"163.864531372549","0.041","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"162.672270889894","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"171.279796664285","0.0549","SPOT","1","6","8","1","0.05","2","Montage_1000.xml|","HEFT"
"167.863405652662","0.1059","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
"168.543264555053","0.1194","SPOT","1","6","9","0","0.05","0","Montage_1000.xml|","HEFT"
"167.082324987431","0.1121","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
"163.694450980392","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.000398466566","0.0739","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"163.843767269985","0.0343","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"168.858059351433","0.068","SPOT","1","6","8","0","0.05","0","Montage_1000.xml|","HEFT"
"162.856890472599","0.0345","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"167.697483459025","0.0816","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"165.430855684653","0.0803","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"162.94738149824","0.0344","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"169.685101633987","0.045","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"162.752088712921","0.0342","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"163.861698139769","0.0343","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"164.298430015083","0.0665","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"168.388570915033","0.0641","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
"163.833087456008","0.0522","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"163.119774912016","0.0367","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"168.987799170437","0.0531","SPOT","1","6","8","0","0.05","0","Montage_1000.xml|","HEFT"
"168.274545539993","0.0957","SPOT","1","6","9","0","0.05","1","Montage_1000.xml|","HEFT"
"167.501569834087","0.0672","SPOT","1","6","9","0","0.05","0","Montage_1000.xml|","HEFT"
"167.275675791855","0.0433","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"167.243192936149","0.067","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
"168.313687053796","0.0505","SPOT","1","6","8","0","0.05","2","Montage_1000.xml|","HEFT"
"167.461704927099","0.0467","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"170.242208898944","0.0424","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"163.909405806938","0.0347","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"169.100292885872","0.041","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"162.769220839618","0.0409","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"170.923037707391","0.043","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
"163.933527476118","0.0346","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"170.192783509301","0.0992","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"163.884122071393","0.036","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"170.581969683258","0.046","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
"162.752297812971","0.0342","SPOT","1","6","6","0","0.05","0","Montage_1000.xml|","HEFT"
"171.129899472097","0.1177","SPOT","1","6","10","0","0.05","2","Montage_1000.xml|","HEFT"
"162.639665233786","0.0429","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"169.137056535948","0.0525","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
"165.808893715435","0.0364","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"168.288349860905","0.0468","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"167.775256963298","0.0438","SPOT","1","6","7","0","0.05","1","Montage_1000.xml|","HEFT"
"168.419031774761","0.0384","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"163.728106033182","0.0419","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"170.147686450478","0.1047","SPOT","1","6","8","0","0.05","2","Montage_1000.xml|","HEFT"
"166.169676998492","0.0475","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
"168.613135381366","0.0591","SPOT","1","6","7","0","0.05","0","Montage_1000.xml|","HEFT"
"169.514801181498","0.0433","SPOT","1","6","8","0","0.05","1","Montage_1000.xml|","HEFT"
